,year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
0,1980,0.34,0.0,0.77,2.71,0.0,0.0,0.0,0.0,7.069999999999999,0.0,0.49,0.0
1,1981,14.84,0.0,0.0,0.0,6.93,2.2399999999999998,0.48,0.0,10.040000000000001,0.45,0.7899999999999999,0.0
2,1982,6.52,0.0,0.0,0.87,5.03,10.03,1.5699999999999998,0.0,3.79,0.0,1.05,0.0
3,1983,2.86,0.4,0.0,2.14,6.93,0.78,0.0,0.0,0.48,0.0,3.2,0.0
4,1984,1.85,0.0,0.0,1.45,0.69,3.14,5.949999999999999,0.0,31.099999999999998,0.0,6.18,0.0
5,1985,3.52,0.0,1.05,0.0,43.17,3.2100000000000004,0.0,0.0,1.0,0.03,1.96,0.0
6,1986,13.740000000000002,0.0,0.0,0.0,9.39,0.0,1.96,2.52,3.89,0.0,5.57,0.0
7,1987,1.12,4.38,5.42,0.0,1.7400000000000002,0.0,0.0,4.65,0.71,0.0,3.7199999999999998,0.0
8,1988,1.75,0.0,0.0,0.0,27.73,5.58,2.14,5.88,0.51,0.03,3.5999999999999996,0.0
9,1989,4.64,0.0,0.0,1.28,20.660000000000004,37.75,0.0,2.2,1.2,0.0,5.720000000000001,0.0
10,1990,6.390000000000001,0.0,0.0,0.0,22.97,6.0,6.26,4.52,0.0,1.14,2.11,0.0
11,1991,6.76,2.24,0.39,0.08,7.64,3.2399999999999998,1.14,3.25,2.0,2.14,2.4099999999999997,0.94
12,1992,3.83,12.239999999999998,15.25,4.9399999999999995,13.42,4.840000000000001,9.04,6.86,0.29000000000000004,2.14,2.95,0.36
13,1993,1.81,0.07,8.750000000000002,0.3,18.669999999999998,3.17,0.36,5.590000000000001,3.08,0.19,3.1799999999999997,0.81
14,1994,1.55,3.74,8.47,2.8599999999999994,28.740000000000002,1.53,2.1899999999999995,7.110000000000001,8.3,2.73,8.389999999999999,3.5600000000000005
15,1995,3.5700000000000007,0.7200000000000002,14.85,6.4,16.689999999999998,2.7099999999999995,6.09,14.260000000000002,4.1499999999999995,4.18,7.980000000000002,6.510000000000001
16,1996,20.580000000000005,4.1899999999999995,18.06000000000001,10.679999999999994,28.23,3.91,28.23999999999999,43.96,6.91,11.330000000000004,17.450000000000006,5.610000000000001
17,1997,27.580000000000002,4.96,11.76,5.6899999999999995,21.849999999999998,5.890000000000001,31.910000000000004,21.79,22.169999999999998,9.65,30.020000000000003,7.710000000000002
18,1998,39.440000000000005,9.049999999999995,31.660000000000018,11.940000000000003,29.879999999999992,6.339999999999999,27.89999999999999,28.090000000000007,9.799999999999997,7.109999999999999,41.79000000000002,13.47
19,1999,27.77999999999999,7.599999999999999,14.259999999999994,20.649999999999995,20.82,1.36,37.27,49.089999999999996,12.249999999999998,11.44,30.289999999999996,18.460000000000008
20,2000,34.04000000000002,2.98,20.22,15.54,16.06,3.82,19.990000000000002,29.029999999999998,6.81,3.379999999999999,41.19,8.500000000000002
21,2001,59.39000000000001,9.12,18.12,16.400000000000002,39.28,7.999999999999998,55.809999999999995,22.06000000000001,24.770000000000003,19.54,51.43000000000002,7.55
22,2002,86.76999999999992,11.050000000000002,25.020000000000003,15.669999999999998,45.970000000000006,5.339999999999997,30.200000000000003,45.12999999999999,48.579999999999984,10.81,65.41999999999999,5.559999999999998
23,2003,67.92999999999999,2.1399999999999997,23.730000000000004,23.82,42.89,2.4199999999999995,52.190000000000026,30.279999999999983,27.140000000000008,21.21,56.11,7.990000000000002
24,2004,76.25999999999998,8.509999999999998,16.780000000000005,26.20999999999999,47.34000000000001,8.429999999999998,47.86000000000003,53.949999999999996,46.95000000000003,10.849999999999996,63.68000000000003,7.1899999999999995
25,2005,85.69000000000005,8.530000000000001,19.71999999999999,59.81,23.56,20.449999999999992,56.42000000000003,28.549999999999983,41.60000000000003,49.27000000000004,59.540000000000035,5.37
